country,activity,year,month,date,state,region,district,school_type,treatment,treat_phase,urban,student_id,grade,level,female,class_size,multigrade,age,language,clpm,clspm,csspm,cwpm,cnonwpm,unt_orf,orf,letter_score,letter_score_pcnt,letter_time_remain,letter_attempted,letter_attempted_pcnt,letter_sound_score,letter_sound_score_pcnt,letter_sound_time_remain,letter_sound_attempted,letter_sound_attempted_pcnt,fam_word_score,fam_word_score_pcnt,fam_word_time_remain,fam_word_attempted,fam_word_attempted_pcnt,oral_read_score,oral_read_score_pcnt,oral_read_time_remain,oral_read_attempted,oral_read_attempted_pcnt,read_comp_score,read_comp_score_pcnt,read_comp_attempted,read_comp_attempted_pcnt,unt_oral_read_score,unt_oral_read_score_pcnt,unt_oral_read_time_remain,unt_oral_read_attempted,unt_oral_read_attempted_pcnt,unt_read_comp_score,unt_read_comp_score_pcnt,unt_read_comp_attempted,unt_read_comp_attempted_pcnt,list_comp_score,list_comp_score_pcnt,list_comp_attempted,list_comp_attempted_pcnt,pa_num_sound_score,pa_num_sound_score_pcnt,pa_num_sound_attempted,pa_num_sound_attempted_pcnt,pa_phon_sound_score,pa_phon_sound_score_pcnt,pa_phon_sound_attempted,pa_phon_sound_attempted_pcnt,pa_diff_init_sound_score,pa_diff_init_sound_score_pcnt,pa_diff_init_sound_attempted,pa_diff_init_sound_attempted_pcnt,pa_init_sound_score,pa_init_sound_score_pcnt,pa_init_sound_attempted,pa_init_sound_attempted_pcnt,syllable_sound_score,syllable_sound_score_pcnt,syllable_sound_time_remain,syllable_sound_attempted,syllable_sound_attempted_pcnt,vocab_word_score,vocab_word_attempted,eq_orf,eq_oral_read_score,eq_oral_read_score_pcnt,eq_oral_read_attempted,eq_oral_read_attempted_pcnt,final_weight,strata1,strata2,strata3,strata4,strata5,fpc1,fpc2,fpc3,fpc4,fpc5,su1,su2,su3,su4,su5,wt1,wt2,wt3,wt4,wt5,cot_score,cot_attempted,cot_attempted_pcnt,invent_word_score,invent_word_score_pcnt,invent_word_time_remain,invent_word_attempted,invent_word_attempted_pcnt,eq_read_comp_score,eq_read_comp_score_pcnt,eq_read_comp_attempted,eq_read_comp_attempted_pcnt,cohort,intervention,encrypted_school_code
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Addis Ababa,,Control,Control,Endline,,1403010216,2,,Male,,,9,Amharic,95,,,51.76470566,32,,50,95,,0,,,,,,,,44,,9,,,50,,,,,3,60,,,,,,,,,,,,1,20,,,,,,,9,90,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,32,,0,,,,,,,,,22a17593d0870f0dbd202abf5f5c0ebe
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020601,2,,Female,,,8,Tigrigna,41,,,12,10,,7,41,,0,,,,,,,,12,,0,,,7,,0,,,0,0,,,,,,,,,,,,0,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,10,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020602,2,,Female,,,8,Tigrigna,0,,,0,0,,0,0,,0,,,,,,,,0,,,,,0,,0,,,0,0,,,,,,,,,,,,3,60,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020603,2,,Female,,,8,Tigrigna,13,,,13,9,,0,13,,0,,,,,,,,13,,0,,,0,,,,,0,0,,,,,,,,,,,,4,80,,,,,,,6,60,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,9,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020604,2,,Female,,,9,Tigrigna,10,,,6,2,,4,10,,0,,,,,,,,6,,0,,,4,,0,,,0,0,,,,,,,,,,,,3,60,,,,,,,6,60,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020605,2,,Female,,,9,Tigrigna,0,,,0,0,,0,0,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,1,20,,,,,,,6,60,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020606,2,,Female,,,9,Tigrigna,38,,,17,8,,12,38,,0,,,,,,,,17,,0,,,12,,0,,,1,20,,,,,,,,,,,,5,100,,,,,,,9,90,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,8,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020607,2,,Female,,,9,Tigrigna,69,,,53.45454407,26,,30,69,,0,,,,,,,,49,,5,,,30,,0,,,1,20,,,,,,,,,,,,4,80,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,26,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020608,2,,Female,,,9,Tigrigna,43,,,12,16,,4,43,,0,,,,,,,,12,,0,,,4,,0,,,0,0,,,,,,,,,,,,4,80,,,,,,,5,50,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,16,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020609,2,,Female,,,9,Tigrigna,22,,,0,0,,0,22,,0,,,,,,,,0,,,,,0,,0,,,0,0,,,,,,,,,,,,3,60,,,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
Ethiopia,Improving Quality of Primary Education Program (IQPEP),2014,May,,,Tigray,,Control,Control,Endline,,101020610,2,,Female,,,12,Tigrigna,0,,,0,0,,0,0,,0,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,,,,,4,80,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,b5995fd4b54e0b50b8358d68bfcdbbdf
